epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8011.14,0.99492,0.47359,0.83126,0.91869,0.86874,0.92891,0.61914,1.00078,0.46528,0.82775,0.0004588,0.0004588,0.0004588
43,8205.81,0.98098,0.46895,0.83067,0.91632,0.86618,0.92586,0.6191,0.99474,0.46245,0.8277,0.0004456,0.0004456,0.0004456
44,8401.71,0.98281,0.46732,0.82987,0.92364,0.86914,0.92799,0.61952,0.99673,0.4638,0.82774,0.0004324,0.0004324,0.0004324
45,8598.38,0.97317,0.45974,0.83015,0.92219,0.87124,0.92772,0.62205,0.99125,0.46114,0.82761,0.0004192,0.0004192,0.0004192
46,8795.32,0.9716,0.4584,0.8305,0.91959,0.86734,0.92681,0.62146,0.9955,0.46064,0.82787,0.000406,0.000406,0.000406
47,8991.66,0.97019,0.45903,0.83007,0.92318,0.8696,0.92953,0.62622,0.99025,0.45804,0.82756,0.0003928,0.0003928,0.0003928
48,9186.13,0.96866,0.45749,0.8271,0.93026,0.86765,0.92982,0.62474,0.99416,0.45687,0.82719,0.0003796,0.0003796,0.0003796
49,9379.37,0.96275,0.45593,0.82628,0.92412,0.87065,0.93035,0.62535,0.99199,0.4555,0.82717,0.0003664,0.0003664,0.0003664
50,9572.31,0.95399,0.4507,0.82831,0.9204,0.87465,0.93047,0.62846,0.9931,0.45448,0.82732,0.0003532,0.0003532,0.0003532
51,9765.78,0.95883,0.45135,0.82628,0.9278,0.86941,0.93086,0.62811,0.99194,0.45323,0.8271,0.00034,0.00034,0.00034
52,9957.87,0.94874,0.44481,0.82726,0.9255,0.87314,0.93219,0.62803,0.99099,0.4525,0.82722,0.0003268,0.0003268,0.0003268
53,10145.4,0.94409,0.44274,0.82574,0.9261,0.87256,0.93263,0.62794,0.99109,0.45166,0.82748,0.0003136,0.0003136,0.0003136
54,10335.1,0.94403,0.44567,0.82557,0.91602,0.87525,0.93169,0.62896,0.9858,0.45044,0.82669,0.0003004,0.0003004,0.0003004
55,10525,0.93627,0.44071,0.82559,0.91866,0.87546,0.9326,0.63003,0.9814,0.44932,0.82627,0.0002872,0.0002872,0.0002872
56,10717.7,0.92859,0.43829,0.82457,0.91776,0.87817,0.93394,0.62958,0.98256,0.44916,0.82645,0.000274,0.000274,0.000274
57,10910.2,0.93024,0.43712,0.82323,0.92094,0.87638,0.93389,0.63071,0.98063,0.44861,0.82606,0.0002608,0.0002608,0.0002608
58,11102.7,0.92948,0.43398,0.82362,0.92706,0.87441,0.93355,0.63179,0.9819,0.44857,0.82607,0.0002476,0.0002476,0.0002476
59,11294.8,0.93012,0.43557,0.82514,0.92784,0.87621,0.93358,0.63196,0.98076,0.44824,0.82579,0.0002344,0.0002344,0.0002344
60,11487.9,0.92412,0.43349,0.82471,0.92501,0.87503,0.9337,0.63172,0.98064,0.44707,0.82556,0.0002212,0.0002212,0.0002212
61,11680.4,0.9229,0.43122,0.8235,0.9237,0.87532,0.93348,0.63296,0.97836,0.446,0.82526,0.000208,0.000208,0.000208
62,11872,0.91826,0.4296,0.82329,0.92406,0.87424,0.93374,0.63393,0.97682,0.44538,0.82524,0.0001948,0.0001948,0.0001948
63,12065.8,0.91243,0.42513,0.82336,0.92344,0.87489,0.93258,0.6349,0.97649,0.4447,0.82517,0.0001816,0.0001816,0.0001816
64,12259.5,0.90713,0.42511,0.82262,0.92571,0.87517,0.93468,0.63598,0.97473,0.44389,0.82503,0.0001684,0.0001684,0.0001684
65,12451.6,0.90798,0.4253,0.82115,0.92703,0.87547,0.93512,0.63591,0.97399,0.44363,0.82491,0.0001552,0.0001552,0.0001552
66,12640,0.87589,0.40985,0.82496,0.92608,0.87691,0.93563,0.63595,0.97273,0.44344,0.82487,0.000142,0.000142,0.000142
67,12825.5,0.86525,0.40465,0.82225,0.9273,0.87715,0.93588,0.63652,0.97178,0.44248,0.82472,0.0001288,0.0001288,0.0001288
68,13012.3,0.85913,0.40232,0.82248,0.92777,0.87563,0.93479,0.6373,0.97223,0.44251,0.82474,0.0001156,0.0001156,0.0001156
69,13199,0.8583,0.39975,0.82349,0.92926,0.87527,0.93479,0.63818,0.97177,0.44232,0.82463,0.0001024,0.0001024,0.0001024
70,13383,0.85566,0.39705,0.82111,0.93047,0.87335,0.93603,0.6385,0.97169,0.44174,0.82459,8.92e-05,8.92e-05,8.92e-05
71,13567.7,0.84873,0.39473,0.82104,0.93133,0.87353,0.93613,0.63962,0.97161,0.44159,0.82456,7.6e-05,7.6e-05,7.6e-05
72,13754.4,0.84509,0.39362,0.82075,0.93319,0.87513,0.93627,0.63951,0.97216,0.44139,0.82452,6.28e-05,6.28e-05,6.28e-05
73,13936.9,0.8422,0.38878,0.82017,0.92975,0.87631,0.93662,0.63948,0.97147,0.44119,0.82443,4.96e-05,4.96e-05,4.96e-05
74,14119.6,0.84025,0.38841,0.81935,0.92952,0.87479,0.93577,0.63972,0.97142,0.44122,0.82441,3.64e-05,3.64e-05,3.64e-05
75,14301.2,0.83664,0.38655,0.81982,0.9289,0.87521,0.93599,0.63997,0.97151,0.44098,0.82442,2.32e-05,2.32e-05,2.32e-05
